Name,Description,feito
7. Ganchos,Dominando Ganchos,No
13. O Hack Viral,O hack pra viralizar,No
10. Hashtags,Estratégia de Hashtag,No
2. Página Temática Ou Marca Pessoal?,Escolhendo a sua Marca,No
4. Aquecendo sua conta,Como aquecer corretamente,No
BÔNUS: Como ter Ideias Infinitas,,No
9. Áudios Virais,Encontrando áudios Em Alta,No
1. Encontrando seu Nicho,Dicas para escolher o seu nicho,No
3. Estruturando o seu Perfil,Criando um perfil de sucesso,No
Presente,,No
8. Retenção + Engajamento,Análise é a chave,No
5. Sua Identidade,Sua marca pessoal,No
"12. Consistência ","O poder da consistência ",No
"14. Legendas ",Como criar legendas atrativas,No
11. Melhores Horários pra Postar,Horários de post Instagram,No
"6. Captura de conteúdo ",Encontrando conteúdo viral,No
BÔNUS: Ferramentas Essênciais,,No
