Name,Description,feito
1. Encontrando seu Nicho,Dicas para escolher o seu nicho,No
2. Página Temática Ou Marca Pessoal?,Escolhendo a sua Marca,No
3. Estruturando o seu Perfil,Criando um perfil de sucesso,No
4. Aquecendo sua conta,Como aquecer corretamente,No
5. Sua Identidade,Sua marca pessoal,No
"6. Captura de conteúdo ",Encontrando conteúdo viral,No
7. Ganchos,Dominando Ganchos,No
8. Retenção + Engajamento,Análise é a chave,No
9. Áudios Virais,Encontrando áudios Em Alta,No
10. Hashtags,Estratégia de Hashtag,No
11. Melhores Horários pra Postar,Horários de post Instagram,No
"12. Consistência ","O poder da consistência ",No
13. O Hack Viral,O hack pra viralizar,No
"14. Legendas ",Como criar legendas atrativas,No
BÔNUS: Ferramentas Essênciais,,No
BÔNUS: Como ter Ideias Infinitas,,No
Presente,,No
